structure;description;func_group;experimental;theoretical;sf;method;basis_set;comments;
benzene;61+34 CC(4-5)+HCC(11-5-6);carbon;1037.52;1061;0.9779;DFT B3LYP;6-31+G**;;
benzene;65+29 HCC(11-5-6)+CC(4-5);carbon;1483;1515;0.9789;DFT B3LYP;6-31+G**;;
propane;;hydrogen;2962;3030;0.9776;DFT B3LYP;6-31+G**;nist all;
benzoic_acid;83+5+4 OC(13-12)+HOC(15-14-12)+CC(12-3);carboxyl;1764;1790;0.9855;DFT B3LYP;6-31+G**;;
benzoic_acid;26+14 CC(2-1)+CC(5-4);carbon/hydrogen;1599;1650;0.9691;DFT B3LYP;6-31+G**;;
benzoic_acid;30+14+12 HCC(11-6-1)+HCC(7-1-2)+HCC(10-5-6)+;carbon/hydrogen;1457;1485;0.9811;DFT B3LYP;6-31+G**;;
benzoic_acid;25+23+20 HOC(15-14-12)+OC(14-12)+CC(12-3;carboxyl;1355;1370;0.9891;DFT B3LYP;6-31+G**;;
benzoic_acid;41+11+9 HOC(15-14-12)+CC(12-3)+HCC(8-2-3);carbon/hydrogen;1184;1192;0.9933;DFT B3LYP;6-31+G**;???;
benzoic_acid;20+17+11  CC(5-4)+OC(14-12)+CC(2-1);carboxyl/carbon/hydrogen;1082;1096;0.9872;DFT B3LYP;6-31+G**;;
benzoic_acid;22+14+14+14 CCC(2-1-6)+CC(1-6)+CC(6-5)+CCC(6-5-4);carbon/hydrogen;1025;1047;0.979;DFT B3LYP;6-31+G**;;
propane;;hydrogen;2968;3051;0.9728;DFT B3LYP;6-31+G**;nist all;
ethylene;;hydrogen;2954;3037;0.9727;DFT B3LYP;6-31+G**;nist all;
beta-propiolactone;;hydrogen;3001;3101;0.9678;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;hydrogen;2897;3012;0.9618;DFT B3LYP;6-31+G**;nist all;
benzene;CH;hydrogen;3074;3198;0.9612;DFT B3LYP;6-31+G**;;
cyclohexanone;;ketone;1709;1786;0.9569;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1449;1493;0.9705;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1427;1473;0.9688;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1340;1374;0.9753;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1308;1340;0.9761;DFT B3LYP;6-31+G**;;
cyclohexanone;;ketone;1216;1241;0.9799;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1114;1136;0.9806;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;1046;1062;0.9849;DFT B3LYP;6-31+G**;;
cyclohexanone;;carbon;904;1029;0.8785;DFT B3LYP;6-31+G**;???;
cyclohexanone;;ketone;860;1000;0.86;DFT B3LYP;6-31+G**;???;
ethylene;;hydrogen;2969;3089;0.9612;DFT B3LYP;6-31+G**;nist all;
acetic_acid;;carboxyl;1790;1822;0.9824;DFT B3LYP;6-31+G**;;
acetic_acid;;carbon/hydrogen;1435;1478;0.9709;DFT B3LYP;6-31+G**;;
acetic_acid;;carbon/hydrogen;1394;1414;0.9859;DFT B3LYP;6-31+G**;;
acetic_acid;;carboxyl;1274;1336;0.9536;DFT B3LYP;6-31+G**;???;
