CC,CCC,CCCC,CCCC_abs,CCC_abs,CC_abs,CH,CH_abs,HCC,HCCC,HCCC_abs,HCC_abs,HOC,HOCC,HOCC_abs,HOC_abs,OC,OCC,OCCC,OCCC_abs,OCC_abs,OCO,OCOC,OCOC_abs,OCO_abs,OC_abs,OH,OH_abs,sf,sigma,intensity,structure,freq
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.014124570010634541,25.668424835338033,64.9149,3_hydroxy_benzoic_acid,3663.452804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.5308051843459368,59.415421299851985,98.3922,3_hydroxy_benzoic_acid,3607.9906220000003
0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006739769036408499,15.40394458227253,1.242,3_hydroxy_benzoic_acid,3098.347454
0.0,0.0,0.0,0.0,0.0,0.0,95.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002349402730726777,24.279249482336734,5.2013,3_hydroxy_benzoic_acid,3077.543152
0.0,0.0,0.0,0.0,0.0,0.0,67.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28677083136745163,18.543968273818844,5.6522,3_hydroxy_benzoic_acid,3059.0749060000003
0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4372193569314453,34.86703516685077,7.9182,3_hydroxy_benzoic_acid,3057.705824
-3.0,-2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,82.0,3.0,0.0,0.0,3.0,-1.0,0.0,0.0,1.0,84.0,0.0,0.0,0.31560321772985056,38.467261951177825,371.9871,3_hydroxy_benzoic_acid,1749.2414142960001
13.0,-15.0,0.0,0.0,33.0,53.0,0.0,0.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.169374028320456,39.76739635857414,50.0804,3_hydroxy_benzoic_acid,1617.152462256
21.0,-6.0,0.0,0.0,22.0,57.0,0.0,0.0,12.0,0.0,0.0,12.0,-3.0,0.0,0.0,3.0,-2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6085002150047927,35.775302405570116,33.7313,3_hydroxy_benzoic_acid,1610.202987936
-3.0,5.0,0.0,0.0,13.0,25.0,0.0,0.0,-23.0,0.0,0.0,51.0,5.0,0.0,0.0,5.0,1.0,-4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.015938378584063783,22.33654714069723,0.9439,3_hydroxy_benzoic_acid,1501.986948384
