,peak_position,intencity,psi,sigma,mu,sf
0,3605.0,104.0,33.672529985294304,44.00243827317772,3605.1495183807924,0.323774326781676
1,3093.0,6.0,3.324417023327123,18.152617066674146,3092.3296243413465,0.5540695038878538
4,3064.0,6.0,1.2664063259025158,12.680234884784443,3063.570356184838,0.21106772098375262
5,1756.0,355.0,117.43371858544847,38.10120924077495,1756.0539224484558,0.3307992072829534
6,1586.0,29.0,17.154288648959028,37.765030748498376,1585.80592235405,0.5915271947916906
8,1477.0,5.0,0.5425815506875619,12.009684444062223,1475.933231091935,0.10851631013751237
9,1429.0,68.0,24.217854021446342,44.41450967765046,1433.3418393822365,0.35614491208009325
10,1339.0,154.0,48.14063418396631,44.88419963673497,1337.464807560565,0.31260152067510594
12,1277.0,14.0,0.007046654660656903,62.040701438066634,1276.1104298369014,0.0005033324757612073
13,1172.0,267.0,102.97324460931935,70.83512553186449,1172.1986879727299,0.38566758280643954
15,1101.0,78.0,63.22791659139642,75.02348652241315,1100.3570717067066,0.8106143152743132
18,992.0,1.0,0.15742395804513198,12.343676581919848,991.4477244839985,0.15742395804513198
20,916.0,7.0,0.9977367199339265,69.28506012107664,918.9918547939981,0.1425338171334181
